Date, Open, High, Low, Close, Volume
02/04/20, 177.14, 180.64, 176.31, 180.12, 36433340
02/03/20, 170.43, 174.50, 170.40, 174.38, 30149051
01/31/20, 172.21, 172.40, 169.58, 170.23, 36142688
01/30/20, 174.05, 174.05, 170.79, 172.78, 51597473
01/29/20, 167.84, 168.75, 165.69, 168.04, 35127770
01/28/20, 163.78, 165.755, 163.073, 165.46, 24899939
01/27/20, 161.15, 163.375, 160.20, 162.28, 32078070
01/24/20, 167.51, 167.53, 164.45, 165.04, 24918119
01/23/20, 166.19, 166.80, 165.27, 166.72, 19680770
01/22/20, 167.40, 167.49, 165.68, 165.70, 24138779
01/21/20, 166.68, 168.19, 166.43, 166.50, 29517189
01/17/20, 167.42, 167.4675, 165.43, 167.10, 34371660
01/16/20, 164.35, 166.24, 164.03, 166.17, 23865359
01/15/20, 162.62, 163.94, 162.57, 163.18, 21417869
01/14/20, 163.39, 163.60, 161.72, 162.13, 23500779
01/13/20, 161.76, 163.31, 161.26, 163.28, 21637010
01/10/20, 162.824, 163.22, 161.18, 161.34, 20733949
01/09/20, 161.835, 162.215, 161.03, 162.09, 21399949
01/08/20, 158.93, 160.80, 157.9491, 160.09, 27762029
01/07/20, 159.32, 159.67, 157.32, 157.58, 21881740
01/06/20, 157.08, 159.10, 156.51, 159.03, 20826699
01/03/20, 158.32, 159.945, 158.06, 158.62, 21121680
01/02/20, 158.78, 160.73, 158.33, 160.62, 22634551
12/31/19, 156.77, 157.77, 156.45, 157.70, 18393381
12/30/19, 158.987, 159.02, 156.73, 157.59, 16356720
12/27/19, 159.45, 159.55, 158.22, 158.96, 18414350
12/26/19, 157.56, 158.73, 157.40, 158.67, 14526930
12/24/19, 157.48, 157.71, 157.115, 157.38, 8989150
12/23/19, 158.12, 158.12, 157.27, 157.41, 17726279
12/20/19, 157.35, 158.49, 156.29, 157.41, 53599609
12/19/19, 154.00, 155.77, 153.75, 155.71, 25813830
12/18/19, 154.30, 155.48, 154.18, 154.37, 24132381
12/17/19, 155.45, 155.71, 154.45, 154.69, 25443529
12/16/19, 155.11, 155.90, 154.82, 155.53, 24152770
12/13/19, 153.004, 154.89, 152.83, 154.53, 23842811
12/12/19, 151.65, 153.44, 151.02, 153.24, 24645369
12/11/19, 151.54, 151.87, 150.33, 151.70, 18860000
12/10/19, 151.29, 151.89, 150.765, 151.13, 16481061
12/09/19, 151.07, 152.21, 150.91, 151.36, 16741350
12/06/19, 150.99, 151.87, 150.27, 151.75, 16410400
12/05/19, 150.05, 150.32, 149.48, 149.93, 17880600
12/04/19, 150.14, 150.1799, 149.20, 149.85, 17580619
12/03/19, 147.49, 149.43, 146.65, 149.31, 25192150
12/02/19, 151.81, 151.83, 148.32, 149.55, 27473619
11/29/19, 152.10, 152.30, 151.28, 151.38, 11977300
11/27/19, 152.33, 152.50, 151.52, 152.32, 15201290
11/26/19, 151.36, 152.42, 151.32, 152.03, 24635100
11/25/19, 150.00, 151.35, 149.92, 151.23, 22428590
11/22/19, 150.07, 150.30, 148.82, 149.59, 15841680
11/21/19, 149.40, 149.80, 148.501, 149.48, 18576080
11/20/19, 150.31, 150.84, 148.46, 149.62, 25720061
11/19/19, 150.88, 151.33, 150.195, 150.39, 23960160
11/18/19, 150.07, 150.55, 148.98, 150.34, 21554760
11/15/19, 148.93, 149.99, 148.27, 149.97, 23508811
11/14/19, 147.02, 148.41, 147.00, 148.06, 19755100
11/13/19, 146.74, 147.4625, 146.28, 147.31, 17444230
11/12/19, 146.28, 147.57, 146.06, 147.07, 18648711
11/11/19, 145.34, 146.42, 144.73, 146.11, 14370180
11/08/19, 143.98, 145.99, 143.76, 145.96, 16752939
11/07/19, 143.84, 144.88, 143.77, 144.26, 17786721
11/06/19, 144.37, 144.52, 143.20, 144.06, 16575801
11/05/19, 144.97, 145.02, 143.905, 144.46, 18250170
11/04/19, 144.83, 145.00, 144.16, 144.55, 16912000
11/01/19, 144.26, 144.42, 142.965, 143.72, 33128371
10/31/19, 144.90, 144.93, 142.99, 143.37, 24605141
10/30/19, 143.52, 145.00, 142.79, 144.61, 18496590
10/29/19, 144.08, 144.50, 142.65, 142.83, 20589471
10/28/19, 144.40, 145.67, 143.51, 144.19, 35280141
